LAC,CI,Angle,Longitude,Latitude,Frequency Channel,BCCH Frequency Point,NCC,BCC,TCH Available Count,CCCH Channel Count,GPRS Static Channel Count,GPRS Dinamic Channel Count,Power,Minimum Access LEVEL,TD Threshold,2G-TD CRO,CF Count,EDGE CF Count,Cover Type,Cover Scence,Auto LC Test Area,GSM Neighbor Count,TD Neighbor Count
6243,54306,120,121.452321,31.193257,900,26,7,2,48,1,4,44,42,100,7,5,7,3,2,9,0,33,10
6243,54307,240,121.452321,31.193257,900,17,1,7,47,1,4,43,42,100,7,5,7,5,2,9,0,35,9
6243,55297,70,121.442322,31.192019,900,27,2,1,17,3,4,13,35,100,7,5,3,3,2,11,0,8,7
6243,55057,0,121.438395,31.191591,900,15,3,1,26,3,2,24,39,98,7,5,4,2,2,3,0,10,10
6243,54289,0,121.455294,31.194935,1800,578,5,7,56,3,4,52,42,102,7,5,8,4,2,9,0,27,7
6243,54290,80,121.455294,31.194935,1800,567,3,6,56,1,4,52,42,102,7,5,8,4,2,9,0,33,8
6243,54291,220,121.455294,31.194935,1800,581,1,5,49,3,4,45,42,100,7,4,7,4,2,9,0,30,11
6243,53793,350,121.455294,31.194935,900,24,5,4,25,3,4,21,37,100,7,4,4,3,2,1,0,22,7
6243,53794,120,121.455294,31.194935,900,28,5,1,54,1,4,50,39,98,7,5,8,7,2,1,0,28,10
6243,53795,220,121.455294,31.194935,900,13,4,1,33,3,4,29,39,102,7,5,5,3,2,1,0,24,11
6243,56065,0,121.453191,31.184331,1800,604,5,5,11,2,2,9,43,102,7,5,2,2,1,8,0,17,7
6243,56066,0,121.453191,31.184331,1800,625,6,3,17,2,4,13,43,102,7,5,3,2,1,8,0,21,7
6243,56177,0,121.453191,31.184331,1800,601,1,1,24,2,1,23,43,98,7,5,4,2,1,0,1,14,4
6243,56178,0,121.453191,31.184331,1800,604,1,3,16,2,4,12,43,98,7,5,3,2,1,0,1,17,4
6243,56179,0,121.453191,31.184331,1800,616,1,5,28,2,4,24,43,98,7,5,4,3,1,0,1,19,4
6243,56180,0,121.453191,31.184331,1800,625,2,2,16,2,4,12,43,98,7,5,3,2,1,0,1,15,4
6243,56193,0,121.453191,31.184331,1800,601,7,3,24,2,4,20,43,98,7,5,4,2,1,3,1,17,4
6243,55873,0,121.452831,31.188061,1800,585,2,1,42,1,2,40,42,98,7,5,6,3,1,8,1,20,9
6243,55874,0,121.452831,31.188061,1800,578,2,7,43,1,4,39,42,98,7,5,6,3,1,8,1,22,9
6243,56017,0,121.452831,31.188061,1800,570,6,4,26,3,4,22,43,100,7,5,4,1,1,8,1,14,9
6243,56018,0,121.452831,31.188061,1800,581,5,2,18,3,4,14,43,98,7,5,3,1,1,8,1,5,9
6243,56019,0,121.452831,31.188061,1800,573,5,3,28,3,4,24,43,98,7,5,4,4,1,8,1,18,9
6243,53345,340,121.453922,31.199146,1800,585,6,5,26,2,4,22,42,102,7,5,4,4,2,1,0,18,8
6243,53346,120,121.453922,31.199146,1800,570,6,0,41,3,4,37,42,102,7,5,6,4,2,1,0,20,10
6243,53347,240,121.453922,31.199146,1800,572,5,4,33,3,4,29,42,100,7,4,5,4,2,1,0,24,11
6243,54337,340,121.453922,31.199146,900,28,7,5,26,1,4,22,43,100,7,4,4,2,2,9,0,22,8
6243,54338,120,121.453922,31.199146,900,15,1,3,42,1,4,38,43,102,7,5,6,2,2,9,0,22,10
6243,54339,240,121.453922,31.199146,900,19,3,3,18,1,4,14,43,99,7,5,3,2,2,9,0,25,11
6243,53377,60,121.456176,31.198326,1800,584,5,7,65,1,4,61,42,102,7,5,9,4,2,3,0,22,10
6243,53378,150,121.456176,31.198326,1800,580,7,1,51,1,4,47,42,102,7,5,7,5,2,3,0,16,11
6243,53379,230,121.456176,31.198326,1800,575,7,2,57,1,4,53,42,102,7,5,8,2,2,3,0,33,11
6243,53809,320,121.456176,31.198326,900,12,4,6,26,1,4,22,37,102,7,5,4,3,2,3,0,30,10
6243,53810,140,121.456176,31.198326,900,20,7,0,47,2,4,43,37,98,7,5,7,4,2,3,0,34,11
6243,53811,250,121.456176,31.198326,900,18,3,6,40,3,4,36,37,102,7,5,6,3,2,3,0,24,11
6243,53361,50,121.459651,31.200606,1800,581,2,3,80,2,4,76,42,100,7,5,12,5,2,11,0,45,6
6243,53362,160,121.459651,31.200606,1800,566,5,1,57,1,4,53,42,98,7,5,8,6,2,11,0,30,9
6243,53363,290,121.459651,31.200606,1800,579,7,1,85,1,4,81,42,102,7,5,12,5,2,11,0,30,8
6243,53825,10,121.459651,31.200606,900,16,3,7,47,1,4,43,37,100,7,5,7,3,2,11,0,26,8
6243,53826,110,121.459651,31.200606,900,25,2,6,45,2,4,41,37,102,7,5,7,3,2,11,0,35,9
6243,53827,240,121.459651,31.200606,900,21,6,2,32,2,4,28,37,102,7,5,5,3,2,11,0,26,11
6243,55313,0,121.464661,31.196511,900,9,6,5,25,3,4,21,41,102,7,5,4,3,1,4,0,10,7
6243,54033,10,121.451607,31.187899,900,19,4,6,48,2,2,46,35,98,7,5,7,6,2,1,1,30,8
6243,54034,150,121.451607,31.187899,900,12,4,1,38,2,4,34,37,98,7,5,6,3,2,1,1,36,10
6243,54035,240,121.451607,31.187899,900,27,0,6,46,1,1,45,39,102,7,5,7,5,2,1,1,35,11
6243,55073,0,121.437381,31.189241,900,64,0,6,26,2,4,22,41,102,7,5,4,3,1,3,0,16,8
6243,55089,0,121.439401,31.192721,900,14,3,0,11,2,2,9,41,98,7,5,2,2,1,2,0,9,7
6243,55441,0,121.453471,31.199701,900,81,7,0,12,1,2,10,41,98,7,5,2,2,1,3,0,14,6
6243,55345,0,121.448351,31.195981,900,36,0,1,12,1,4,8,42,98,7,5,2,2,1,7,0,10,8
6243,55649,0,121.461591,31.191491,900,64,3,0,42,2,4,38,42,98,7,5,6,3,1,3,1,10,6
6243,53857,340,121.443115,31.193587,900,12,7,2,46,3,4,42,39,102,7,5,7,4,2,2,0,31,8
6243,53858,110,121.443115,31.193587,900,21,7,0,46,2,4,42,39,98,7,5,7,3,2,2,0,27,9
6243,53859,330,121.443115,31.193587,900,15,3,0,54,1,6,48,37,98,7,5,8,7,2,2,0,31,6
6243,54401,10,121.445424,31.194791,1800,569,3,4,43,2,4,39,43,102,7,5,6,3,2,9,0,22,8
6243,54402,120,121.445424,31.194791,1800,579,3,3,51,2,4,47,43,100,7,5,7,2,2,9,0,26,10
6243,54403,240,121.445424,31.194791,1800,582,1,1,42,2,4,38,43,102,7,5,6,5,2,9,0,24,9
6243,53873,10,121.445424,31.194791,900,18,0,0,39,2,4,35,37,102,7,5,6,3,2,4,0,29,8
6243,53874,120,121.445424,31.194791,900,28,1,0,50,1,3,47,39,102,7,5,7,4,2,4,0,32,10
6243,53875,240,121.445424,31.194791,900,20,7,4,39,2,4,35,39,102,7,5,6,4,2,1,0,28,9
6243,55361,0,121.456151,31.193971,900,12,2,2,17,3,2,15,37,98,7,5,3,3,1,2,0,16,8
6243,55362,0,121.456151,31.193971,900,25,7,2,12,1,2,10,35,98,7,5,2,2,1,2,0,25,8
6243,53553,50,121.446615,31.186954,1800,572,5,1,58,1,1,57,42,102,7,5,8,5,2,11,0,28,6
6243,53554,190,121.446615,31.186954,1800,578,3,1,54,1,4,50,42,102,7,5,8,5,2,11,0,24,9
6243,53555,330,121.446615,31.186954,1800,568,6,6,74,2,4,70,42,102,7,5,11,6,2,11,0,26,6
6243,54049,110,121.446615,31.186954,900,3,0,2,48,2,4,44,37,98,7,5,7,6,2,11,0,32,9
6243,54050,200,121.446615,31.186954,900,20,3,4,47,2,4,43,41,102,7,5,7,3,2,11,0,26,9
6243,54051,350,121.446615,31.186954,900,16,2,4,47,1,6,41,39,98,7,5,7,4,2,11,0,32,6
6243,53297,340,121.439079,31.192395,1800,571,3,5,50,1,1,49,42,100,7,5,7,2,2,3,0,22,10
6243,53298,100,121.439079,31.192395,1800,577,2,1,81,1,1,80,42,102,7,5,11,6,2,3,0,26,11
6243,53299,240,121.439079,31.192395,1800,566,3,7,82,2,4,78,42,102,7,5,12,7,2,3,0,30,11
6243,53649,340,121.439079,31.192395,900,28,7,0,27,1,4,23,37,99,7,5,4,2,2,3,0,22,10
6243,53650,90,121.439079,31.192395,900,19,3,1,48,2,4,44,37,102,7,5,7,3,2,3,0,28,11
6243,53651,240,121.439079,31.192395,900,23,6,2,47,1,4,43,37,100,7,5,7,5,2,3,0,31,11
6243,55105,220,121.437774,31.187034,900,1,2,0,72,1,4,68,39,98,7,5,10,6,2,8,0,21,4
6243,55106,150,121.437774,31.187034,900,28,2,4,16,3,4,12,39,98,7,5,3,3,2,8,0,5,5
6243,54177,0,121.460493,31.200414,1800,585,2,1,43,1,4,39,43,102,7,5,6,2,2,9,0,24,7
6243,54178,120,121.460493,31.200414,1800,568,3,4,35,2,4,31,43,98,7,5,5,1,2,9,0,18,9
6243,54179,210,121.460493,31.200414,1800,577,2,4,35,1,4,31,43,98,7,4,5,2,2,9,0,17,8
6243,54449,120,121.457581,31.198289,1800,571,6,1,40,2,4,36,43,98,7,5,6,4,2,9,0,31,10
6243,54450,220,121.457581,31.198289,1800,569,3,2,40,2,1,39,43,100,7,5,6,2,2,9,0,31,11
6243,56129,0,121.448401,31.184291,1800,601,5,5,25,2,4,21,43,98,7,5,4,2,1,3,1,17,4
6243,54417,0,121.450679,31.192496,1800,576,1,7,33,2,4,29,43,100,7,5,5,4,2,9,0,29,9
6243,54418,150,121.450679,31.192496,1800,580,5,0,56,2,4,52,43,100,7,5,8,4,2,9,0,32,10
6243,54419,240,121.450679,31.192496,1800,585,5,2,49,2,4,45,43,102,7,5,7,3,2,9,0,27,9
6243,54433,60,121.438578,31.188358,1800,574,1,7,49,2,1,48,43,102,7,5,7,3,2,9,0,28,6
6243,54434,200,121.438578,31.188358,1800,571,2,7,56,2,4,52,43,98,7,5,8,4,2,9,0,31,9
6243,54435,320,121.438578,31.188358,1800,578,0,6,56,2,4,52,43,98,7,5,8,5,2,9,0,26,8
6243,55585,0,121.452431,31.195381,900,9,0,5,25,3,4,21,29,100,7,5,4,2,1,12,0,12,8
6243,55569,0,121.449621,31.194231,900,9,2,3,25,3,1,24,39,98,7,5,4,2,1,2,0,17,8
6243,53905,140,121.459658,31.198631,900,19,3,6,40,3,4,36,39,98,7,3,6,2,2,1,0,25,9
6243,53906,300,121.459658,31.198631,900,2,3,7,42,1,4,38,37,102,7,5,6,4,2,1,0,24,9
6243,53521,350,121.459054,31.190347,1800,574,1,5,18,1,4,14,42,102,7,5,3,3,2,9,1,20,11
6243,53522,95,121.459054,31.190347,1800,565,2,5,17,3,4,13,42,98,7,3,3,3,2,9,1,14,9
6243,53523,240,121.459054,31.190347,1800,582,5,3,9,3,4,5,42,102,7,5,2,2,2,9,1,20,12
6243,54097,350,121.459054,31.190347,900,17,1,4,26,1,4,22,35,102,7,5,4,4,2,9,1,27,11
6243,54098,95,121.459054,31.190347,900,12,7,5,25,3,4,21,41,100,7,4,4,2,2,9,1,27,9
6243,54099,240,121.459054,31.190347,900,29,6,6,26,2,4,22,41,99,7,5,4,2,2,9,1,33,12
6243,56033,0,121.454081,31.193341,1800,572,6,0,16,2,1,15,43,102,7,5,3,2,1,4,0,15,7
6243,55617,0,121.454531,31.188361,900,36,5,3,26,2,4,22,42,98,7,5,4,1,1,10,1,9,8
6243,55889,0,121.445541,31.187941,1800,616,2,4,25,2,2,23,43,98,7,5,4,1,1,4,0,12,9
6243,55890,0,121.445541,31.187941,1800,601,5,7,25,2,4,21,43,98,7,5,4,2,1,4,0,14,9
6243,55377,0,121.459531,31.200841,900,36,6,5,27,1,2,25,41,98,7,5,4,3,1,3,0,18,6
6243,55378,0,121.459531,31.200841,900,9,7,2,11,2,2,9,37,98,7,5,2,2,1,3,0,12,6
6243,53537,0,121.455838,31.185721,1800,583,1,4,27,1,4,23,42,102,7,5,4,4,2,13,1,28,10
6243,53538,80,121.455838,31.185721,1800,576,6,3,56,3,4,68,42,102,7,5,10,6,2,13,1,18,8
6243,53539,220,121.455838,31.185721,1800,568,6,7,87,1,4,83,42,102,7,5,12,5,2,13,1,34,10
6243,54065,0,121.455838,31.185721,900,21,1,1,19,2,4,15,39,102,7,5,3,3,2,13,1,25,10
6243,54066,80,121.455838,31.185721,900,25,7,0,32,3,4,28,39,100,7,5,5,4,2,13,1,17,8
6243,54067,220,121.455838,31.185721,900,16,0,0,49,2,4,45,39,102,7,5,7,4,2,13,1,32,10
6243,55633,0,121.458061,31.190801,900,49,4,4,19,2,4,15,42,98,7,5,3,3,1,3,1,10,7
6243,55393,0,121.457251,31.192831,900,6,6,5,10,3,2,8,39,98,7,5,2,2,1,3,0,12,6
6243,53585,90,121.455833,31.191141,1800,577,2,2,63,3,3,60,41,98,7,5,9,5,2,1,0,26,12
6243,53586,180,121.455833,31.191141,1800,571,6,7,59,2,4,55,39,100,7,5,8,7,2,9,0,31,11
6243,53587,280,121.455833,31.191141,1800,567,3,7,84,2,3,81,41,102,7,5,12,6,2,9,0,33,8
6243,54081,90,121.455833,31.191141,900,15,2,0,49,2,3,46,43,102,7,5,7,4,2,1,0,30,12
6243,54082,180,121.455833,31.191141,900,27,1,1,56,1,3,53,39,100,7,5,8,5,2,9,0,30,11
6243,54083,280,121.455833,31.191141,900,23,0,1,25,2,4,21,39,100,7,5,4,2,2,9,0,30,8
6243,56145,0,121.454751,31.197951,1800,549,1,1,19,2,4,23,43,98,7,5,4,3,1,4,0,20,4
6243,56146,0,121.454751,31.197951,1800,604,2,2,26,2,4,22,43,98,7,5,4,2,1,4,0,24,4
6243,56147,0,121.454751,31.197951,1800,616,3,3,22,2,4,18,43,98,7,5,4,2,1,4,0,20,4
6243,55953,0,121.451031,31.189111,1800,578,1,6,24,2,4,20,43,98,7,5,4,2,1,14,0,7,7
6243,55954,0,121.451031,31.189111,1800,581,6,7,16,2,4,12,43,102,7,5,3,2,1,14,0,15,7
6243,55955,0,121.451031,31.189111,1800,570,3,6,18,2,4,14,43,102,7,5,3,2,1,14,0,17,7
6243,55409,0,121.449051,31.192611,900,1,3,3,53,1,4,49,39,98,7,5,8,5,1,4,0,20,8
6243,55425,0,121.449011,31.193731,900,1,4,7,65,1,2,63,41,98,7,5,9,7,1,4,0,14,9
6243,55426,0,121.449011,31.193731,900,14,4,6,39,1,4,35,41,98,7,5,6,4,1,4,0,21,9
